"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","cathmarg","difcro2","rightmar2","diffvotensoc"
"65","1907","117",117,"Socialist",0.00261147112873583,4,0,0.313521617177677,-0.126027662249734,0,0,0.226522045927
"66","1912","117",117,"Socialist",0.0752315897819781,4,0.428571428571429,0.389351548610461,-0.314119958828483,0,0,0.190687884306636
"67","1898","118",118,"Liberal",0.0988526037069726,4,0.166666666666667,0.390725779075294,-0.253377690270894,0,0,0.289156550268826
"68","1903","118",118,"Liberal",0.14252607184241,3,0,0.451249793080616,-0.308723721238206,0,0,0.208294366463544
"69","1907","118",118,"Liberal",0.158267557174661,4,0,0.457043108682453,-0.277170613236187,1,1,0.254062084393446
"70","1912","118",118,"Liberal",0.0612320863577145,4,0,0.442071468453378,-0.336218127675414,0,0,0.0866380816650119
"71","1893","119",119,"Liberal",0.135051800690676,3,0,0.449216822890972,-0.314165022200296,0,0,0.182685017599826
"72","1898","119",119,"Socialist",0.0105838982043049,4,0,0.350220002378404,-0.311987156617909,0,0,0.219118020483045
"73","1903","119",119,"Socialist",0.192784945352946,4,0,0.453803380173665,-0.231325499219328,0,0,0.0469280100094531
"74","1907","119",119,"Liberal",0.000881510321016687,4,0.125,0.400450549719631,-0.374397022454027,1,0,0.20314669515101
"75","1912","119",119,"Socialist",0.156538452412026,3,0,0.486391571553995,-0.329853119141969,0,0,0.0603864152757325
"76","1903","120",120,"Conservative",0.166948579161028,4,0.5,0.47265448804691,-0.287719891745602,0,0,0.0429522020564241
"77","1912","120",120,"Conservative",0.183893214682981,3,0.5,0.475328142380423,-0.291434927697442,1,0,0.126977727105542
"78","1890","121",121,"Conservative",0.0803805400478523,5,0,0.345391363791728,-0.265010823743876,1,0,0.168248712440235
"79","1893","121",121,"Conservative",0.0333687691944248,4,0,0.356602882116702,-0.323234112922277,0,0,0.221895970718434
"80","1912","121",121,"Conservative",0.0725734997986307,3,0.166666666666667,0.48622633910592,-0.41365283930729,0,0,0.0190269441961435
"81","1912","121",121,"Liberal",0.156,3,0,0.452,-0.296,1,0,0.092
"82","1907","122",122,"Conservative",0.0909168552760815,4,0.2,0.417986932570355,-0.322970491523252,0,0,0.157050153304048
"83","1912","122",122,"Conservative",0.0708611256838791,4,0.2,0.393914412051263,-0.323053286367384,0,0,0.117359154705182
"84","1912","122",122,"Conservative",0.199,3,0.25,0.467,-0.268,0,0,0.077
"85","1890","123",123,"Conservative",0.0689390711546656,4,0.5,0.476438005965062,-0.407498934810396,0,0,0.0439896229992495
"86","1903","123",123,"Conservative",0.0908802285895706,4,0.5,0.413921739820621,-0.32113659814271,0,0,0.181804790625819
"87","1903","123",123,"Socialist",0.0170104105283834,5,0,0.267491651934787,-0.250481241406403,0,0,0.424943466784153
"88","1907","123",123,"Conservative",0.115792372297948,4,0.5,0.41150351094589,-0.292819771444307,0,0,0.0979057834560749
"89","1912","123",123,"Socialist",0.0730442822705809,3,0,0.395997754515735,-0.322953472245154,1,0,0.0948528645548553
"90","1912","123",123,"Socialist",0.018,3,0,0.4,-0.382,0,0,0.122
"91","1893","124",124,"Socialist",0.178667038482989,5,0,0.4638315672058,-0.273814835471277,1,1,0.0569033695929111
"92","1903","124",124,"Socialist",0.122116271916333,5,0,0.493836216075527,-0.353595343444621,0,0,0.0268594510718502
"93","1907","125",125,"Liberal",0.0484761709961137,4,0.428571428571429,0.395663734915116,-0.337042339946819,1,0,0.235508476912754
"94","1912","125",125,"Socialist",0.204769672958906,4,0,0.423793987415521,-0.219024314456615,0,0,0.0964084142157758
"95","1898","126",126,"Liberal",0.0471590186856489,4,0.428571428571429,0.454493453667217,-0.402885470954621,0,0,0.101236137210547
"96","1898","126",126,"Socialist",0.0584947095228588,3,0,0.402275903373927,-0.343781193851068,0,0,0.172343714625426
