"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","conmarg","difcro2","rightmar2","diffvotensoc"
"474","1898","219",219,"Liberal",0.0422849040360561,5,0.285714285714286,0.309363447612296,-0.113080467919178,0,0,0.365774731012633
"475","1903","219",219,"Catholic",0.019660215430423,5,0,0.271127068920221,-0.0806550486032052,0,0,0.400130191713094
"476","1907","219",219,"Liberal",0.0378592063250722,4,0,0.331686179109016,0.195795955602858,0,0,0.0838938314434824
"477","1912","219",219,"Liberal",0.27048752479382,5,0,0.185057591258656,0.299961721822041,1,1,0.269154862953798
"478","1893","222",222,"Liberal",0.0743824745724824,5,0,0.376383145188331,-0.298368168101039,0,0,0.231811337193532
"479","1898","222",222,"Catholic",0.0165100894991383,4,0,0.350769914948024,-0.0501973428206126,0,0,0.258470288773003
"480","1903","222",222,"Liberal",0.298444198256346,4,0,0.457540580896874,-0.0328982226289678,0,0,0.128338449463211
"481","1912","222",222,"Liberal",0.0183505069994663,5,0,0.436676382445913,0.347838581222546,0,1,0.12292277367223
"482","1898","229",229,"Liberal",0.0115741671020376,3,0.2,0.445846561909738,-0.4342723948077,0,0,0.0977982572545034
"483","1907","229",229,"Liberal",0.0493994442275452,3,0,0.48995246078589,-0.440553016558345,0,0,0.0240611446562871
"484","1912","229",229,"Liberal",0.0164078086252866,3,0.333333333333333,0.468144612458747,-0.451736803833461,0,0,0.0597279910140258
"485","1890","23",23,"Minority",0.0256241354324485,3,0,0.47071997892102,0.480732494565575,0,0,0.00971480368767597
"486","1890","23",23,"Minority",0.202175303902751,5,0,0.498542688561882,0.243335465984218,0,0,0.0346260669767934
"487","1893","23",23,"Minority",0.0307353776263486,6,0,0.454997160704145,0.47011641113004,0,0,0.032079458828903
"488","1898","230",230,"Catholic",0.00810151993117297,4,0,0.447841984513909,0.335137654143963,0,0,-0.00613064905401212
"489","1907","230",230,"Liberal",0.0109011244259093,3,0.6,0.496990972918756,-0.486089848492847,0,0,0.0151837798019682
"490","1912","230",230,"Catholic",0.0384331842532069,3,0,0.496191084680788,-0.457757900427581,0,0,0.0104749390902765
"491","1890","237",237,"Socialist",0.0200963456766094,4,0,0.370979514378862,-0.350883168702253,1,0,0.15894630616783
"492","1893","237",237,"Socialist",0.125006982070044,3,0.2,0.45227056917835,-0.327263587108306,0,0,0.0993637139463313
"493","1898","237",237,"Socialist",0.142984014209592,6,0,0.429229573712256,-0.276032415630551,1,0,0.105808572656775
"494","1903","237",237,"Socialist",0.180744699189795,5,0,0.438631270470609,-0.211558352008274,1,0,0.180808766382542
"495","1907","237",237,"Liberal",0.0835607892068939,3,0.4,0.423691803790065,-0.340131014583171,0,0,0.10035296656887
"496","1912","237",237,"Socialist",0.022941490307665,4,0,0.412377734305531,-0.369411346256447,0,0,0.0834577488521311
"497","1907","238",238,"Socialist",0.237524805188519,5,0,0.488650113740864,-0.251125308552345,0,0,0.147219659884076
"498","1890","24",24,"Minority",0.0823586156999879,4,0,0.428915953213554,0.129205353912939,0,0,0.0769959063349953
"499","1893","24",24,"Minority",0.0290246149795972,4,0,0.456561800710807,0.32960379097012,1,1,0.0656470065586854
"500","1898","241",241,"Liberal",0.019613075383589,4,0,0.491594396264176,-0.471981320880587,0,0,0.039470467779573
"501","1893","242",242,"Catholic",0.0985567646831829,3,0,0.494095855522112,-0.395539090838929,0,0,0.0254083114363589
"502","1903","246",246,"Liberal",0.0209128541476265,3,0.333333333333333,0.487016827052309,-0.466103972904683,0,0,0.0656909227142643
"503","1912","246",246,"Catholic",0.0610017633322213,3,0,0.481056093027689,-0.420054329695468,0,0,0.0506226553853018
"504","1890","25",25,"Minority",0.120279166460427,5,0,0.469682720388061,-0.349403553927635,0,0,0.0370157301482916
"505","1893","25",25,"Minority",0.18848141019147,4,0,0.489160166143248,0.113919562354371,0,0,0.0263450348139235
"506","1903","25",25,"Minority",0.0106294131045478,4,0,0.474641257307721,-0.464011844203174,1,1,0.031140056593457
"507","1907","25",25,"Liberal",0.048135376302037,4,0.4,0.496498275800775,-0.448362899498738,0,0,0.0255143028155772
"508","1912","25",25,"Liberal",0.0474178067473677,5,0.285714285714286,0.481376692214025,-0.433958885466657,1,1,0.0579181325404917
"509","1890","251",251,"Liberal",0.18275467378863,4,0,0.439993217177498,-0.257238543388868,0,0,0.102239363389889
"510","1893","251",251,"Liberal",0.178530468690267,4,0,0.462688278920407,-0.28415781023014,0,0,0.166243648551248
"511","1898","251",251,"Socialist",0.0951610065106458,4,0,0.422593700510294,-0.327432693999648,0,0,0.119221806949256
"512","1903","251",251,"Socialist",0.232065083408661,4,0,0.453803380173665,-0.221738296765004,0,0,0.517792385491401
"513","1907","251",251,"Socialist",0.119034125908587,3,0,0.456794382160897,-0.33776025625231,0,0,0.114985980408526
"514","1898","252",252,"Liberal",0.116657983233079,4,0.25,0.382986785392886,-0.266328802159807,0,0,0.142847225998489
"515","1903","252",252,"Liberal",0.154982817869416,3,0.25,0.469453990072547,-0.314471172203131,0,0,0.138801197665185
"516","1907","252",252,"Liberal",0.196003486890632,3,0.6,0.489941661637497,-0.293938174746865,0,0,0.427028131182367
"517","1907","252",252,"Liberal",0.0177510398098634,4,0.4,0.329062685680333,-0.219028520499109,0,0,0.183553195012936
"518","1912","252",252,"Liberal",0.0419706238346037,3,0.25,0.381170466812784,0.0630377179495568,0,0,0.567826365288589
"519","1893","253",253,"Liberal",0.0517963866181219,3,0,0.46025966888782,-0.408463282269698,0,1,0.0794440707916358
"520","1898","253",253,"Liberal",0.0270132887952945,3,0.333333333333333,0.467068477234769,-0.440055188439474,0,0,0.0409361844839333
"521","1903","253",253,"Liberal",0.000111800547822671,3,0.333333333333333,0.459779752920789,-0.459667952372967,0,0,0.0469617611655651
"522","1907","253",253,"Liberal",0.0268463332469551,3,0.333333333333333,0.471728427053641,-0.444882093806686,0,0,0.0339274570503481
"523","1912","253",253,"Catholic",0.0942979073474214,4,0,0.417964933929765,-0.211167669288909,0,0,0.0850773613954885
"524","1893","254",254,"Liberal",0.0589699780327069,4,0.4,0.46394923114474,-0.404979253112033,0,0,0.0562807144406557
"525","1898","254",254,"Catholic",0.00651678071032907,4,0,0.430991947120979,-0.42447516641065,1,1,0.0729004238319529
"526","1903","254",254,"Catholic",0.0214981166939094,4,0,0.407611399331959,-0.371508776917063,0,0,0.129871657700675
"527","1907","254",254,"Catholic",0.00796904207523036,3,0,0.408847932312334,-0.400878890237104,1,1,0.119457550882278
"528","1912","254",254,"Catholic",0.0234212139791539,4,0,0.359350091968118,-0.29767014101778,0,0,0.207137085178912
"529","1898","255",255,"Liberal",0.204233448299182,4,0,0.450869006559816,0.0050720227226618,0,0,0.0785111439238815
"530","1903","255",255,"Liberal",0.0122179352274056,4,0,0.293931953700456,0.0123348532678592,0,0,0.136409128939965
"531","1890","256",256,"Liberal",0.118218093026026,3,0,0.49740932642487,-0.379191233398845,0,0,0.0113097983183335
"532","1893","256",256,"Liberal",0.25365951473832,4,0,0.498696611189092,-0.245037096450772,0,0,0.0360018606062242
"533","1898","256",256,"Socialist",0.057060215619248,5,0,0.262582171969498,0.0977649224296608,1,1,0.216025309515478
"534","1903","256",256,"Liberal",0.0398821218074656,4,0.4,0.315284872298625,-0.0351669941060904,0,0,0.212139721668893
"535","1907","256",256,"Liberal",0.000391175089970219,4,0.4,0.295611015490534,-0.0372398685651698,0,0,0.255602476899429
"536","1907","256",256,"Socialist",0.121929026387625,6,0,0.277670609645132,0.238980891719745,1,1,0.199547448573449
"537","1912","256",256,"Socialist",0.0518918918918919,3,0,0.381959459459459,0.04625,1,1,0.178658466076242
"538","1898","257",257,"Catholic",0.0492103862305554,5,0,0.409475365233335,-0.36026497900278,0,0,0.110900293817631
"539","1893","26",26,"Minority",0.159958204615664,5,0,0.498637107032528,0.269125931310194,0,0,0.0432258039373383
"540","1898","26",26,"Minority",0.00549617163217347,4,0,0.49294973845804,-0.487453566825866,0,0,0.0116653120360423
"541","1903","26",26,"Minority",0.0191451313159648,4,0,0.489217714506119,-0.470072583190154,0,0,0.00993477040811275
"542","1890","262",262,"Liberal",0.146338692268363,3,0,0.472021814463444,-0.32568312219508,0,0,0.0283283606241
"543","1893","262",262,"Liberal",0.185632217257587,3,0,0.471943364475135,-0.286311147217548,0,1,0.12590431764407
"544","1898","262",262,"Liberal",0.0909090909090909,3,0.2,0.450393356643357,-0.359484265734266,0,0,0.0980765347682919
"545","1903","262",262,"Socialist",0.136693814659916,4,0,0.470085846357033,-0.333392031697116,0,0,0.0337312526477235
"546","1905","262",262,"Socialist",0.00354861603974449,3,0,0.431428213584937,-0.290485534171085,0,0,0.137284006171739
"547","1890","263",263,"Liberal",0.0601874691662556,3,0,0.488054126435972,-0.427866657269716,0,0,0.0458601458202697
"548","1893","263",263,"Liberal",0.217190458159788,3,0,0.496478606588413,-0.279288148428626,0,0,0.00864105412046268
"549","1898","263",263,"Liberal",0.170099923136049,3,0.4,0.493774019984627,-0.323674096848578,0,0,0.108637206051344
"550","1903","263",263,"Socialist",0.114106988783434,4,0,0.395312050618349,-0.0449381650848433,0,0,0.13148082105952
"551","1903","263",263,"Socialist",0.117569207014448,4,0,0.445461563913091,-0.155453843608691,0,0,0.078297897819457
"552","1907","263",263,"Socialist",0.0166987797045601,4,0,0.379759610973484,-0.15290393614093,1,1,0.196755008909557
"553","1912","263",263,"Socialist",0.216568047337278,3,0,0.480078895463511,-0.0127547666009205,0,0,0.136778413570999
"554","1890","264",264,"Catholic",0.194778284293411,6,0,0.431709194245456,0.00515067195547925,0,0,0.0736132501364081
"555","1893","264",264,"Catholic",0.147429738169589,4,0,0.433041076147009,-0.28561133797742,0,0,0.0794186627917938
"556","1898","264",264,"Liberal",0.051577896968941,4,0.333333333333333,0.377011350879381,-0.32543345391044,0,0,0.128616664128659
"557","1903","264",264,"Catholic",0.137405067330398,5,0,0.38923990044036,-0.0271874401684855,0,0,0.134028859301346
"558","1903","264",264,"Catholic",0.166326288292567,4,0,0.436713369745904,-0.113369745903586,0,0,0.0829779554270608
"559","1907","264",264,"Catholic",0.135638950208487,4,0,0.421878832474859,-0.100318861908266,1,1,0.0866698596146462
"560","1890","265",265,"Catholic",0.161857501684739,4,0,0.451387612571219,-0.0665931507688537,0,0,0.178182062324235
"561","1893","265",265,"Catholic",0.151734397187099,4,0,0.453512745959835,-0.301778348772737,0,0,0.150121424288224
"562","1898","265",265,"Catholic",0.247520043484169,4,0,0.471123793993749,-0.0733795352629434,1,1,0.213348068780852
"563","1912","265",265,"Catholic",0.178701298701299,4,0,0.467402597402597,-0.224415584415584,0,0,0.0670452033173927
"564","1890","268",268,"Socialist",0.0227975472983596,5,0,0.304543787013259,-0.2817462397149,0,0,0.255093883145134
"565","1893","268",268,"Socialist",0.0845760875174157,7,0,0.360338510759069,-0.271582641003148,1,0,0.145288895697639
"566","1898","268",268,"Socialist",0.204736578935406,5,0,0.456611664166553,-0.251875085231147,1,0,0.113566502626
"567","1903","268",268,"Socialist",0.211173311143052,5,0,0.455064679627808,-0.243891368484757,0,0,0.0756921751970983
"568","1907","268",268,"Socialist",0.0965041082195632,4,0,0.441813240026243,-0.182948545721516,0,0,0.0576967440482398
"569","1890","269",269,"Liberal",0.0859956575682382,4,0,0.461616004962779,-0.29458746898263,0,0,0.06129088562749
"570","1893","269",269,"Liberal",0.212360340651613,4,0,0.432533791702477,0.0121884522228299,0,0,0.142359313588811
"571","1898","269",269,"Liberal",0.182022666320616,4,0,0.256423566052427,0.274331689592525,1,1,0.269045965092013
"572","1898","269",269,"Liberal",0.0835322195704057,5,0.2,0.24771623734672,0.117027405151839,1,0,0.331374955657652
"573","1903","269",269,"Socialist",0.0717523185272994,5,0,0.297956906770797,0.118750435813402,1,1,0.121566333684578
"574","1907","269",269,"Liberal",0.0670212765957447,4,0.285714285714286,0.327712765957447,0.123457446808511,1,1,0.13854490275421
"575","1912","269",269,"Socialist",0.0034852005253056,3,0,0.336145065158097,0.0198504899484797,0,0,0.189512361991868
"576","1893","27",27,"Minority",0.00151220565996979,2,0,0.498163750270037,NA,0,0,-0.00817137512707067
"577","1903","27",27,"Minority",0.00462281992015129,3,0,0.496672970512012,0.487217202493521,0,0,-0.00525724629890428
"578","1912","27",27,"Minority",0.0105609011969022,3,0,0.497946491433936,0.477939450833138,0,0,-0.0350571035143181
"579","1890","271",271,"Liberal",0.278589333563834,5,0,0.185582159218601,0.306681649235025,0,0,0.0185325752871182
"580","1893","272",272,"Liberal",0.0435737565537764,6,0,0.305016295876435,-0.196188181947003,0,0,0.287828042336891
"581","1912","272",272,"Liberal",0.0428931875525652,4,0.166666666666667,0.334051724137931,0.223454583683768,0,0,0.243666951985
"582","1893","274",274,"Catholic",0.159115460379996,4,0,0.439092584355341,-0.279977123975345,0,0,0.100004157053539
"583","1893","275",275,"Catholic",0.161457392351701,5,0,0.459560373381512,-0.29810298102981,0,0,0.0634330266610688
"584","1898","276",276,"Catholic",0.21804311774461,4,0,0.497048092868988,-0.279004975124378,1,1,0.106670640096913
"585","1893","277",277,"Catholic",0.241133292172601,6,0,0.489469712560884,-0.242779721479042,0,0,0.168705683132344
"586","1898","277",277,"Catholic",0.0418595290802978,5,0,0.365465888508754,-0.323606359428456,1,0,0.146139119227918
"587","1903","277",277,"Catholic",0.260179977502812,4,0,0.454161979752531,-0.193982002249719,0,0,0.134891068176738
"588","1912","277",277,"Catholic",0.225592504985854,4,0,0.486155558647558,-0.238486155558648,0,0,0.0597206353274603
"589","1890","278",278,"Catholic",0.107160813043166,5,0,0.43862673274438,-0.306686777275013,0,0,0.101821709973537
"590","1893","278",278,"Catholic",0.110976430976431,6,0,0.384175084175084,-0.233063973063973,0,0,0.210237854283223
"591","1898","278",278,"Catholic",0.100725650755609,4,0,0.351374742027828,-0.250649091272219,1,0,0.231028633040218
"592","1903","278",278,"Catholic",0.179026496774537,3,0,0.464626539425281,-0.285600042650744,0,0,0.0677897540274806
"593","1907","278",278,"Catholic",0.182538959263647,3,0,0.456666362890732,-0.274127403627085,1,1,0.181187910103079
"594","1912","278",278,"Catholic",0.0926109649311996,3,0,0.404304878574818,-0.311693913643618,0,0,0.128797655938154
"595","1890","279",279,"Catholic",0.213805506787137,3,0,0.497195221170728,-0.283389714383591,0,0,0.153256631642002
"596","1898","284",284,"Catholic",0.0465019288916693,4,0,0.487071212595141,-0.440569283703472,0,0,0.044049724191215
"597","1907","284",284,"Catholic",0.0558478348846621,3,0,0.48615944961554,-0.430311614730878,1,1,0.0727127885393251
"598","1912","284",284,"Catholic",0.0486332574031891,3,0,0.450493545937737,-0.401860288534548,0,0,0.0773832595310414
"599","1912","284",284,"Catholic",0.0579083518107908,3,0,0.461751662971175,-0.403843311160384,0,0,0.0500236993476654
"600","1890","285",285,"Liberal",0.147349018757454,3,0.25,0.43944486609563,-0.292095847338176,1,1,0.213297078242076
"601","1893","285",285,"Liberal",0.0817535545023697,3,0.4,0.394343704924789,-0.312590150422419,0,0,0.148584561687688
"602","1898","285",285,"Socialist",0.103302154927394,3,0,0.403803421011834,-0.30050126608444,0,0,0.103921004875431
"603","1907","285",285,"Liberal",0.0164314556430656,4,0.571428571428571,0.445208491584376,-0.338344061088234,1,1,0.105250224011954
"604","1890","286",286,"Liberal",0.127995813710099,3,0.333333333333333,0.471899529042386,-0.343903715332287,0,0,0.0744143626888422
"605","1893","286",286,"Liberal",0.100608329433786,4,0,0.268951801591015,0.108329433785681,1,1,0.291272288044839
"606","1898","286",286,"Socialist",0.0621657754010695,4,0,0.349112785610112,0.180785123966942,0,0,0.14736409552963
"607","1912","286",286,"Socialist",0.260745440126883,4,0,0.488342585249802,-0.0826724821570182,0,0,0.0253601703592933
"608","1903","287",287,"Socialist",0.0612063492063492,4,0,0.389037037037037,0.366984126984127,0,0,0.0318572658672191
"609","1912","287",287,"Socialist",0.0593085756169069,3,0,0.348521866601515,0.166900806254581,0,0,0.108769894753514
"610","1912","287",287,"Socialist",0.032,3,0,0.38,0.204,1,1,0.144
"611","1893","288",288,"Socialist",0.0941993487594732,4,0,0.415526035213094,0.311903869982422,0,0,0.0203044528367152
"612","1898","288",288,"Socialist",0.206703467948549,5,0,0.477906024669185,0.160376112622488,0,0,0.0537813591029598
"613","1893","289",289,"Socialist",0.034353703496816,4,0,0.419925148028153,0.366774662048933,0,0,0.0276186000712579
"614","1898","289",289,"Socialist",0.214171093404161,5,0,0.473467242142541,0.247039619300575,0,0,0.0343515177116812
"615","1907","289",289,"Socialist",0.0178587678587678,4,0,0.441077441077441,-0.305692055692056,0,0,0.0992989077250854
"616","1912","289",289,"Liberal",0.00173460537727665,3,0.25,0.489497175977831,-0.487762570600554,1,1,0.0148157872101172
"617","1893","29",29,"Minority",0.149131837210898,5,0,0.240614920046668,0.259831171505044,1,1,0.183209873567305
"618","1903","29",29,"Minority",0.0839687380861609,6,0,0.247521921463973,0.194481509721693,1,1,0.115693948070146
"619","1907","29",29,"Minority",0.19710889537162,5,0,0.247093656115296,0.317194235207036,0,0,0.0902288775578021
"620","1912","29",29,"Minority",0.111006469576611,6,0,0.219883711407747,0.140774711325854,0,0,0.1001251518761
"621","1893","290",290,"Socialist",0.119492388921481,3,0,0.483218575354309,NA,0,0,0.0137601879919307
"622","1893","291",291,"Socialist",0.0317502432121695,4,0,0.371893517290174,0.332891129388874,0,0,0.0264484051834982
"623","1898","291",291,"Socialist",0.162210490463215,4,0,0.439884196185286,0.275587534059946,0,0,0.0349710934407248
"624","1907","291",291,"Socialist",0.229148096268942,5,0,0.451228829746594,0.112982299758054,0,0,0.00100445973533331
"625","1890","292",292,"Liberal",0.109046692607004,3,0,0.348686770428016,0.266974708171206,1,1,0.14537000484817
"626","1893","292",292,"Socialist",0.00879288922871069,4,0,0.381773869827009,0.184746248685845,0,0,0.0554985714010213
"627","1899","292",292,"Socialist",0.036367397600331,3,0,0.478733967728589,0.366859743483657,0,0,0.00564763599062551
"628","1893","293",293,"Socialist",0.0330852727876002,4,0,0.364649002227805,0.164478361852396,0,0,0.0602330676249611
"629","1903","293",293,"Socialist",0.169424814384113,4,0,0.485195455765274,0.121209410501834,0,0,0.0316393405140393
"630","1912","293",293,"Socialist",0.172677096734033,3,0,0.459476283354774,0.0371830518321783,1,0,0.0365879801579208
"631","1893","294",294,"Socialist",0.0739885553659271,4,0,0.392430478867584,0.383796807549443,0,0,0.0565866895822796
"632","1898","294",294,"Socialist",0.18016318445503,3,0,0.460217893694289,-0.0250907890392869,0,0,0.0651587914762111
"633","1907","294",294,"Socialist",0.215415385755028,4,0,0.472610096670247,-0.091410792992333,0,0,0.0554575733286544
"634","1903","295",295,"Socialist",0.0104484880683579,3,0,0.445388940541019,0.320272723247886,0,0,0.0540773048153154
"635","1907","295",295,"Socialist",0.00648539778449142,3,0,0.38416918429003,0.168539778449144,0,0,0.0352865053167676
"636","1912","295",295,"Socialist",0.03348588863463,3,0,0.427803203661327,0.221510297482838,0,0,0.0549398597268975
"637","1890","296",296,"Liberal",0.0804348499396042,5,0.2,0.480626877690711,-0.320562455477437,0,0,0.0604202102894621
"638","1893","296",296,"Socialist",0.0314304461942257,4,0,0.386614173228346,-0.122998687664042,0,0,0.142563761671135
"639","1898","296",296,"Liberal",0.00444978563076526,5,0.166666666666667,0.385734701831883,-0.184422502273613,0,1,0.152731693344428
"640","1903","296",296,"Socialist",0.0409184234117001,4,0,0.466730285416847,-0.425811862005147,0,0,0.0775047569664956
"641","1912","296",296,"Liberal",0.0168286263791882,4,0.142857142857143,0.46031987043223,-0.356842797854034,1,1,0.0694646980907011
"642","1903","297",297,"Socialist",0.0711267292380233,3,0,0.462746319113918,0.250967483652862,0,0,0.0749172283307188
"643","1907","297",297,"Socialist",0.039268761523675,3,0,0.384880938370405,NA,0,0,0.043567202222722
"644","1912","297",297,"Socialist",0.16140711944508,3,0,0.440811037426633,0.00434484335696317,0,0,0.0491518157496079
"645","1890","3",3,"Socialist",0.224730283848879,4,0,0.492455909869023,-0.267725626020144,0,0,0.0170256118279557
"646","1893","3",3,"Socialist",0.151254273592289,3,0,0.451785640729909,-0.30053136713762,0,0,0.100634561969952
"647","1903","3",3,"Socialist",0.122947944436649,4,0,0.492563490949909,-0.256910340956924,0,0,0.0211243093911236
"648","1890","30",30,"Catholic",0.0663063812097277,3,0,0.413219704843068,0.383184369154022,0,0,0.0588813493190549
"649","1893","30",30,"Catholic",0.0800829465784537,4,0,0.354497876962575,0.389750172805372,0,0,0.099043446552588
"650","1898","30",30,"Catholic",0.00164394159172226,5,0,0.366212165167779,0.356928730296877,0,0,0.104627377802912
"651","1903","30",30,"Catholic",0.072742022714981,6,0,0.340364160807644,0.209482603208942,0,0,0.0896827875491638
"652","1907","30",30,"Catholic",0.133730758964321,4,0,0.295755850164605,0.397900169054186,0,0,0.11576788302624
"653","1898","304",304,"Socialist",0.150471988508106,3,0,0.46167658526575,NA,0,0,0.0355615192017371
"654","1903","304",304,"Socialist",0.207035029998065,3,0,0.497242113412038,NA,0,0,-0.0201994132686906
"655","1890","305",305,"Liberal",0.179841449603624,3,0.333333333333333,0.488391845979615,-0.308550396375991,0,0,0.0340592353798084
"656","1893","305",305,"Socialist",0.0851478532048783,4,0,0.385253661524754,-0.129531658963078,0,0,0.168048888164064
"657","1907","305",305,"Socialist",0.118226239024211,3,0,0.434622873727911,-0.3163966347037,0,0,0.106467618498212
"658","1890","307",307,"Socialist",0.114955160893265,3,0,0.363768243362054,0.3246878846492,1,1,0.0845689733293251
"659","1893","307",307,"Socialist",0.0540427314620863,3,0,0.388646837033934,0.276749057394219,1,1,0.0938770849743137
"660","1893","307",307,"Socialist",0.189993697580841,4,0,0.480874581858729,-0.161584331216367,0,0,0.0541254181412712
"661","1898","307",307,"Socialist",0.0754825462012321,3,0,0.400164271047228,0.354004106776181,0,0,0.0881741785487637
"662","1907","307",307,"Socialist",0.0539289289289289,5,0,0.380305305305305,-0.133383383383383,0,0,0.230656127613918
"663","1912","307",307,"Socialist",0.209660507491204,3,0,0.485984574877088,-0.276324067385884,0,0,0.0393961357828101
"664","1890","308",308,"Liberal",0.0734849293619444,4,0.25,0.445215472758977,-0.371730543397032,1,0,0.101138711320459
"665","1893","308",308,"Socialist",0.0706229009568469,5,0,0.422660160953045,-0.337462771687472,1,1,0.0760986052605715
"666","1890","309",309,"Liberal",0.119707064588954,4,0.25,0.463135289906943,-0.343428225317989,0,0,0.0704639592718458
"667","1893","309",309,"Liberal",0.0498592096320031,4,0,0.401058355180115,-0.351199145548111,1,0,0.208679946211071
"668","1898","309",309,"Liberal",0.116510115606936,4,0.333333333333333,0.443415823699422,-0.326905708092486,0,0,0.139995476792788
"669","1903","309",309,"Liberal",0.0524941891650277,4,0.333333333333333,0.464902556767388,-0.41240836760236,0,0,0.0793975022993576
"670","1890","31",31,"Liberal",0.129965316405994,4,0,0.436751521497284,0.0719848177475296,0,0,0.178643695923982
"671","1893","31",31,"Liberal",0.0784352142110762,7,0,0.344174503657262,-0.0806556948798328,0,0,0.222567033323325
"672","1898","31",31,"Liberal",0.15882444896045,5,0.125,0.442942004064405,-0.117945912146319,0,0,0.230227552775672
"673","1903","31",31,"Socialist",0.0813304388277252,5,0,0.412079392153822,-0.104124670491549,0,0,0.0999323871394201
"674","1907","31",31,"Liberal",0.0775633749527053,6,0.2,0.459099508134695,-0.30798335225123,0,0,0.174496085885761
"675","1912","31",31,"Liberal",0.0222202391575942,6,0,0.415580938782795,-0.350348027842227,0,0,0.0791512435987898
"676","1912","31",31,"Liberal",0.122,4,0,0.486,-0.364,0,0,0.053
"677","1890","310",310,"Liberal",0.0836080178173719,4,0,0.378351893095768,0.3543429844098,1,0,0.151009461729777
"678","1893","310",310,"Liberal",0.118560991399242,4,0.25,0.389484879311939,-0.270923887912698,0,0,0.193245145697933
"679","1898","310",310,"Socialist",0.047876631079478,4,0,0.285124555160142,0.0917674970344009,1,1,0.138927698938218
"680","1903","310",310,"Socialist",0.0519581233036061,5,0,0.30306320279178,0.0352849941837922,1,1,0.162609331498313
"681","1907","310",310,"Liberal",0.0590166065451237,3,0,0.315654349874882,0.0669786487276982,1,1,0.204113862045648
"682","1912","310",310,"Socialist",0.0486002767066027,3,0,0.365870889876659,0.00267875540902535,1,1,0.186537816069976
"683","1890","311",311,"Liberal",0.00592456059508917,4,0,0.472055822526496,0.435784345994339,1,0,0.0357707386952111
"684","1893","311",311,"Liberal",0.109930576516752,4,0,0.497132508300634,0.277512828252339,1,1,0.0933493125684172
"685","1898","311",311,"Liberal",0.028387683513057,4,0,0.42562037157334,0.233012862154086,0,0,0.155532104160779
"686","1903","311",311,"Socialist",0.0373957178694359,4,0,0.323143340528557,0.0590980689574704,1,1,0.17989689634555
"687","1907","311",311,"Liberal",0.0384152404877793,4,0,0.326110849426912,0.060292039566651,0,0,0.154067690539025
"688","1912","311",311,"Socialist",0.107131257829536,3,0,0.415997772931842,-0.0359578712940194,0,0,0.125715996003269
"689","1890","312",312,"Liberal",0.0852125006632355,4,0.25,0.482039581896323,-0.396827081233088,0,0,0.03964901357534
"690","1893","312",312,"Liberal",0.107549372507053,4,0,0.460112851444693,-0.35256347893764,1,1,0.158315100316592
"691","1898","312",312,"Liberal",0.0545186640471513,4,0.4,0.361493123772102,-0.306974459724951,0,0,0.219422475323602
"692","1898","312",312,"Socialist",0.0920662960461371,4,0,0.409778147243726,-0.317711851197589,1,1,0.100237261076767
"693","1903","312",312,"Socialist",0.233802349230067,5,0,0.422031295397003,0.0036525131781015,0,0,0.0872563057602779
"694","1912","312",312,"Socialist",0.178606949212358,4,0,0.496422727710225,-0.157111232314158,0,0,0.000904125266688816
"695","1898","313",313,"Liberal",0.133097136108651,4,0,0.405019191024505,-0.271922054915855,0,0,0.254093436961843
"696","1903","313",313,"Liberal",0.0403890453033017,5,0,0.313642180701305,-0.27192219093934,0,1,0.346016163582532
"697","1912","313",313,"Liberal",0.195134785072452,4,0.25,0.487938152675463,-0.224965595401927,0,0,0.146687293222277
"698","1903","314",314,"Liberal",0.104856960482795,4,0,0.3464863923867,0.278651424592352,1,1,0.164015451448477
"699","1907","314",314,"Liberal",0.0428124834419542,4,0,0.418269485508398,0.193239018703969,0,0,0.113171114696708
"700","1912","314",314,"Liberal",0.0680758162151434,4,0.2,0.37838642453111,-0.00441599682445176,0,0,0.23807439085855
"701","1893","315",315,"Liberal",0.136772301217879,4,0,0.426449021233182,-0.289676720015303,0,0,0.20997130929379
"702","1898","315",315,"Liberal",0.0558260305095748,4,0,0.336319376825706,0.173644920480364,0,0,0.0864033708099337
"703","1903","315",315,"Liberal",0.0818535914766869,5,0,0.30782449306908,-0.167029442089586,1,1,0.306511124289512
"704","1907","315",315,"Liberal",0.105085088117962,4,0,0.431045801141241,-0.297278190173206,1,2,0.16637348990538
"705","1912","315",315,"Liberal",0.0290327216978872,3,0.25,0.365496095434293,0.0424471805681982,1,1,0.264142588377373
"706","1890","316",316,"Liberal",0.029573109914223,4,0,0.451625772990225,0.321464193097945,0,0,0.0670521884040254
"707","1898","316",316,"Liberal",0.015196677253848,4,0,0.304813095528952,-0.289616418275104,1,0,0.322646458471923
"708","1903","316",316,"Liberal",0.0271542518415203,5,0,0.337401386043673,-0.310247134202153,1,1,0.302238253595966
"709","1907","316",316,"Liberal",0.081779939022037,3,0.6,0.402338775037629,-0.320558836015592,0,0,0.125942656043907
"710","1912","316",316,"Liberal",0.108147347807003,4,0.25,0.403653307222203,-0.274099334841476,0,0,0.150864335037637
"711","1890","317",317,"Liberal",0.0354212111768983,5,0.2,0.315726602264465,-0.192687233821544,0,0,0.264709346435979
"712","1893","317",317,"Liberal",0.055040733197556,4,0,0.312983706720978,0.183503054989817,1,0,0.257613597700368
