"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","libmarg","difcro2","rightmar2","diffvotensoc"
"28","1912","111",111,"Socialist",0.0965832660747915,5,0,0.382656264012196,-0.0436732131647386,0,0,0.124882753711109
"29","1890","112",112,"Conservative",0.12590708925138,5,0.2,0.350244991626868,0.373875829560256,0,0,0.0314404843299519
"30","1890","112",112,"Conservative",0.0859101621081197,3,0.333333333333333,0.48518174676855,0.292008855245305,0,0,-0.0224230406091742
"31","1893","112",112,"Conservative",0.0454996896337679,3,0.4,0.474177529484792,0.334823091247672,1,0,-0.00743413234401186
"32","1898","112",112,"Conservative",0.0513407652907502,3,0.666666666666667,0.416691774630913,0.355046700813498,0,0,-0.307300767231937
"33","1903","112",112,"Conservative",0.015231825029292,3,0.6,0.404229202700441,0.185236846510071,0,0,0.00938658177219909
"34","1907","112",112,"Conservative",0.0595282466322347,4,0,0.380224695170651,0.0953090889728982,1,0,0.13276734375018
"35","1912","112",112,"Conservative",0.0483675325988072,3,0.5,0.369149903972506,-0.0149095319923178,0,0,0.174174542294927
"36","1893","113",113,"Conservative",0.0578151532303712,3,0.4,0.373332255195278,0.239265787984151,0,0,0.0281625859778476
"37","1898","113",113,"Conservative",0.0529963654805173,4,0.2,0.327698419406644,0.211647367086468,0,0,0.0785280430588347
"38","1903","113",113,"Conservative",0.00489017155683824,4,0.25,0.30295013628347,0.0915504248837582,1,0,0.171083631820875
"39","1907","113",113,"Conservative",0.0705784874962338,4,0.25,0.354850858692377,0.0915938535703525,1,1,0.116897424046377
"40","1912","113",113,"Conservative",0.122269483094225,3,0,0.459015211592531,0.135029918535073,1,0,-0.0163090511141554
"41","1890","114",114,"Conservative",0.0124850242764361,4,0.25,0.413582193076487,0.319313954221578,0,0,0.0195400011305118
"42","1893","114",114,"Conservative",0.0535637940511818,4,0.571428571428571,0.39192573138704,0.305625114517804,1,0,0.0235910774438686
"43","1898","114",114,"Conservative",0.125139337048988,4,0.4,0.338222352596069,0.30073335288941,0,0,0.0232065665860145
"44","1903","114",114,"Conservative",0.0397701149425287,4,0.25,0.34316091954023,-0.00264367816091954,0,0,0.242516088288126
"45","1907","114",114,"Conservative",0.0663975121392329,4,0.5,0.366141087893502,0.0267881499263462,1,0,0.0419108303238193
"46","1912","114",114,"Conservative",0.0260714671272806,3,0.5,0.332397711324625,0.0528986289539026,0,0,0.0229194056912731
"47","1890","115",115,"Catholic",0.0926868470399143,3,NA,NA,NA,NA,NA,NA
"48","1893","115",115,"Conservative",0.0103548700248086,3,0.333333333333333,0.48516880595405,0.47858914895912,0,0,-0.0402606256535494
"49","1898","115",115,"Conservative",0.0181383296790911,4,0.25,0.410205301973291,0.299481762009169,0,0,0.0521814997840839
"50","1903","115",115,"Conservative",0.0275653565712253,3,0.25,0.433042859683443,0.357816112395518,1,0,0.0465711540521042
"51","1907","115",115,"Conservative",0.0887564027206315,4,0,0.369888319758166,0.0941304895457217,1,1,0.124620831656143
"52","1912","115",115,"Conservative",0.0368164143294449,4,0,0.296847853065277,0.129974352610242,1,0,0.196441280181813
"53","1890","116",116,"Conservative",0.153690507609748,5,0.333333333333333,0.296736166094836,0.222882026920032,0,0,0.032587004076897
"54","1890","116",116,"Conservative",0.17275536553359,4,0,0.278796088557762,0.241755915844728,0,0,0.117176133664461
"55","1893","116",116,"Conservative",0.0467990185143877,5,0.333333333333333,0.325540932411332,0.10229756859246,0,0,0.0194497911508205
"56","1898","116",116,"Socialist",0.0791626463061627,4,0,0.302261190586064,0.0933842345932793,0,0,0.0525006070656526
"57","1898","116",116,"Socialist",0.0536231173036354,3,0,0.318059166952853,0.0630917921797576,0,0,0.0467795059464745
"58","1903","116",116,"Socialist",0.0182947157859643,4,0,0.359184864144024,0.0832222037006168,0,0,0.0851664053644782
"59","1907","116",116,"Conservative",0.0238263390699922,3,0.6,0.332156265100546,0.0468720960487678,0,0,0.0729364234906699
"60","1912","116",116,"Socialist",0.00686041300375773,3,0,0.368118040472989,0.0934946736994519,0,0,0.108053492664094
"61","1893","117",117,"Conservative",0.0228706624605678,4,0.666666666666667,0.427951780081118,0.256534474988734,0,0,-0.0162473572116462
"62","1898","117",117,"Conservative",0.0404739493937213,5,0.2,0.308122473838658,0.0370965062842589,0,0,0.0672604780445643
"63","1903","117",117,"Socialist",0.020544085250269,5,0,0.278036784671346,0.0788974845022798,0,0,0.0777466978685249
"64","1907","117",117,"Conservative",0.0336626781192592,4,0.5,0.250732337023981,0.0352018271188124,0,0,0.186676475348356
"65","1907","117",117,"Socialist",0.00261147112873583,4,0,0.313521617177677,0.123319469968082,0,0,0.135001880466814
"66","1912","117",117,"Catholic",0.0752315897819781,4,0.428571428571429,0.389351548610461,-0.028539346870029,0,0,0.190687884306636
"67","1898","118",118,"Conservative",0.0988526037069726,4,0.333333333333333,0.291873175368321,0.113789123497861,1,0,0.0250352955817358
