"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"608","1903","287",287,"Conservative",0.0612063492063492,4,0.4,0.450243386243386,0.305777777777778,1,1,0.124591345985686,0.10221713011705,3301,23625,0.731560042113086
"609","1912","287",287,"Conservative",0.0593085756169069,3,0.4,0.407830442218422,0.107592230637674,0,0,0.120303363799213,0.00709725152769025,259,32744,0.897267969199573
"610","1912","287",287,"Conservative",0.032,3,0.5,0.412,0.172,1,0,0.064,NA,NA,NA,NA
"611","1893","288",288,"Conservative",0.0941993487594732,4,0,0.321326686453621,0.165778174797568,0,0,0.239600636875791,0.0036799882240377,150,34703,0.851377542258531
"612","1898","288",288,"Conservative",0.206703467948549,5,0.2,0.271202556720636,0.345474234700615,0,0,0.185340459820423,0.0612012293163454,3007,37861,0.770581889972117
"613","1893","289",289,"Conservative",0.034353703496816,4,0,0.385571444531337,0.248799016869624,0,1,0.163373901444943,0.00879073756432247,369,35804,0.852963598246617
"614","1898","289",289,"Conservative",0.214171093404161,5,0.166666666666667,0.25929614873838,0.224850597609562,0,0,0.219883979980377,0.0537634408602151,2545,36144,0.763546485835604
"615","1907","289",289,"Liberal",0.0178587678587678,4,0.285714285714286,0.423218673218673,0.323550823550824,0,0,0.117157675583853,0.032519035532995,1640,43956,0.871589467005076
"616","1912","289",289,"Liberal",0.00173460537727665,3,0.25,0.489497175977831,0.473441499375965,1,1,-8.72217397877018e-05,0.0397210316565155,2113,47273,0.888657041882848
"617","1893","29",29,"Conservative",0.149131837210898,5,0.166666666666667,0.389746757257566,-0.240614920046668,0,0,0.179810450902357,NA,86,14571,NA
"618","1903","29",29,"Conservative",0.0839687380861609,6,0,0.331490659550133,-0.242041555470835,0,0,0.302623116616954,-0.000508885931261305,-13,20984,0.821420183198935
"619","1907","29",29,"Conservative",0.19710889537162,5,0.2,0.444202551486916,-0.239735272347281,0,0,0.212741387355457,-0.0375435672071526,-991,22967,0.870093953629338
"620","1912","29",29,"Conservative",0.111006469576611,6,0.142857142857143,0.330890180984358,-0.186921628040292,0,0,0.340281988304363,-0.0682720588235294,-1857,24422,0.897867647058823
"621","1893","290",290,"Conservative",0.119492388921481,3,0,0.363726186432828,0.333034859665915,0,1,0.136009822014902,0.0446194912592903,1705,32387,0.847560975609756
"622","1893","291",291,"Conservative",0.0317502432121695,4,0,0.340143274078005,0.0947200849031573,0,0,0.257840145146732,-0.0106197833422127,-299,22614,0.803196590303676
"623","1898","291",291,"Conservative",0.162210490463215,4,0,0.277673705722071,0.166297683923706,0,1,0.243981534640834,0.0291060985797827,871,23488,0.784895572263993
"624","1907","291",291,"Conservative",0.229148096268942,5,0,0.222080733477652,0.241149879027123,1,1,0.320924967205177,0.0151945134208349,514,31412,0.928579874660045
"625","1890","292",292,"Conservative",0.109046692607004,3,0.333333333333333,0.457733463035019,-0.157928015564202,0,0,0.0461121529627431,0.0339530816318772,893,20560,0.781719326261359
"626","1893","292",292,"Conservative",0.00879288922871069,4,0.4,0.372980980598299,0.193539137914556,0,0,0.185701088894217,0.0482856933986402,1321,20926,0.764895094670663
